epoch,iterations,residual norm,PDE_Err,FC_Err
0,2,4.340329112650562e-16,0.025193266426991753,0.025227918325629872
1,2,4.3395402973506436e-16,0.025230618091894544,0.025265169653625463
2,2,4.3387489752718596e-16,0.02526786995075525,0.02530232133814536
3,2,4.3379551466899193e-16,0.025305022165530322,0.025339373541299892
4,2,4.337158840536419e-16,0.025342074898526357,0.025376326424630946
5,2,4.3363600520770176e-16,0.025379028311234453,0.02541318014971594
6,2,4.3355587709994437e-16,0.02541588256516815,0.02544993487790137
7,2,4.3347550316017986e-16,0.025452637821786403,0.025486590770142925
8,2,4.333948812155421e-16,0.025489294241914193,0.025523147987378536
9,2,4.3331401349854704e-16,0.025525851986449924,0.025559606690013226
10,2,4.332329005250573e-16,0.025562311216097255,0.025595967038682943
11,2,4.3315154319439226e-16,0.025598672091114535,0.02563222919329533
12,2,4.330699395841756e-16,0.025634934771830403,0.025668393313988958
13,2,4.3298809437740367e-16,0.025671099417997723,0.025704459560405013
14,2,4.3290600450595056e-16,0.025707166189470748,0.025740428091918233
15,2,4.328236713437653e-16,0.025743135245581666,0.025776299068169806
16,2,4.3274109655822744e-16,0.02577900674578458,0.025812072647877216
17,2,4.326582807034211e-16,0.025814780849085978,0.02584774898993558
18,2,4.3257522283345534e-16,0.025850457714332906,0.02588332825302686
19,2,4.3249192548402716e-16,0.02588603750012647,0.025918810595655373
20,2,4.3240838814419925e-16,0.025921520364865225,0.025954196175721478
21,2,4.3232460984513477e-16,0.025956906466614846,0.025989485151427516
22,2,4.322405946665357e-16,0.025992195963587886,0.026024677680300812
23,2,4.3215633949115447e-16,0.02602738901324171,0.02605977392027725
24,2,4.3207184749160287e-16,0.026062485773553162,0.026094774028262435
25,2,4.3198711839831666e-16,0.026097486401255407,0.026129678161463943
26,2,4.3190215250291783e-16,0.026132391053875714,0.026164486476627502
27,2,4.318169506482972e-16,0.026167199887922987,0.02619919913055213
28,2,4.3173151327430074e-16,0.026201913060312068,0.026233816279681577
29,2,4.31645839591494e-16,0.0262365307273785,0.02626833808017537
30,2,4.3155993382850317e-16,0.026271053045355167,0.026302764688175273
31,2,4.314737930415429e-16,0.026305480170361745,0.026337096259307913
32,2,4.313874190227409e-16,0.026339812257996545,0.02637133294914662
33,2,4.313008121739562e-16,0.02637404946398346,0.026405474913175908
34,2,4.312139727792476e-16,0.026408191943669307,0.026439522306436203
35,2,4.311269026897806e-16,0.02644223985200099,0.02647347528377253
36,2,4.310396000241178e-16,0.026476193344051227,0.02650733400015426
37,2,4.3095206800226123e-16,0.026510052574690898,0.0265410986099468
38,2,4.3086430521542783e-16,0.02654381769815005,0.026574769267320164
39,2,4.3077631298651393e-16,0.026577488868926163,0.02660834612639107
40,2,4.306880917278933e-16,0.026611066240826278,0.026641829341169654
