maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
0.11594202898550726,0.11493558776167465,0.11594202898550726,0.11493558776167465,0.0553433895111084,0.004906746393744978,0.004906333332677093,0.03493499755859375,2.975644417003986e-17
0.11573810706070999,0.11467864065509815,0.11573814525051052,0.11467874663010875,0.038990020751953125,0.0046537278793149575,0.004653339895632769,0.022069692611694336,2.971168755566575e-17
0.11553620178147073,0.11442424825958356,0.11553631551366564,0.11442456187347247,0.0393214225769043,0.004410957212689408,0.004410593301962251,0.0222780704498291,2.9666412563287286e-17
0.11533629324472056,0.1141723854514857,0.11533651905732367,0.11417300430377546,0.0409245491027832,0.0042600221030662695,0.004259589752741988,0.023573637008666992,2.962064721320032e-17
0.115138361738253,0.1139230273326686,0.11513873537653295,0.11392404518492927,0.040488243103027344,0.004331055032872087,0.0043306157119893385,0.022998809814453125,2.957441869858864e-17
0.11494238773913527,0.11367614923044539,0.11494294417669457,0.11367765621453328,0.04009866714477539,0.004400320095395618,0.004399873975735602,0.022911548614501953,2.9527753507481725e-17
0.11474835191211946,0.11343172669727573,0.11474912537125281,0.11343380950736179,0.04017448425292969,0.004467868126925517,0.00446741537518669,0.02287912368774414,2.948067739530365e-17
0.11455623510805438,0.11318973551025614,0.11455725907941876,0.11319247758033098,0.03906106948852539,0.004533748133748726,0.004533288912345057,0.022119998931884766,2.943321534092037e-17
0.11436601836229933,0.11295015167043274,0.11436732562392586,0.11295363333875719,0.03904533386230469,0.004598007377550857,0.00459754184416461,0.02214837074279785,2.9385391659430574e-17
0.11417768289314048,0.11271295140196165,0.11417930552881767,0.11271725006374762,0.0390782356262207,0.004660691455778977,0.004660219763819029,0.022130727767944336,2.9337229918377775e-17
0.11399121010021045,0.11247811115113839,0.1139931795172656,0.11248330140058767,0.038956403732299805,0.004721844377285463,0.004721366676019301,0.02206730842590332,2.928875304808015e-17
0.11380658156291218,0.11224560758531471,0.11380892850941697,0.11225176134800932,0.03895235061645508,0.004781508633615893,0.004781025068290035,0.022060394287109375,2.9239983330726633e-17
0.1136237790388474,0.11201541759171815,0.11362653362027168,0.11202260424824007,0.03893876075744629,0.004839725266239004,0.004839235977849299,0.022059202194213867,2.9190942321555734e-17
0.11344278446225053,0.11178751827618814,0.11344597615758745,0.1117958047777469,0.03899788856506348,0.004896533929993168,0.004896039056045964,0.022128582000732422,2.9141651015965753e-17
0.11326357994242824,0.11156188696184029,0.11326723761981243,0.11157133793860012,0.039000511169433594,0.004951972953013103,0.00495147262702389,0.022083044052124023,2.909212975488517e-17
0.11308614776220556,0.11133850118766873,0.11309029969404509,0.1113491790503931,0.03901100158691406,0.005006079393378197,0.005005573745897607,0.022105932235717773,2.904239824171941e-17
