maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal
0,0,0,0,0.125039101,0.065164172,0.065159789,0.081715107
0,0,0.000624905,0.000614,0.075019121,0.06513293,0.065128569,0.044402122
0,0,0.001246685,0.001220377,0.076947451,0.06510193,0.06509759,0.041421175
0,0,0.001865357,0.001820232,0.086911678,0.065071138,0.065066819,0.058116436
0,0,0.002480935,0.002414148,0.070290327,0.065040537,0.06503624,0.041882992
0,0,0.003093435,0.003002506,0.074697256,0.065010117,0.06500584,0.041065216
0,0,0.003702873,0.003585584,0.068595171,0.064979869,0.064975612,0.039915085
0,0,0.004309264,0.004163599,0.078310966,0.064949786,0.064945549,0.046615124
0,0,0.004912622,0.004736725,0.071914911,0.064919865,0.064915647,0.037656546
0,0,0.005512964,0.005305112,0.055107832,0.064890099,0.0648859,0.034657478
0,0,0.006110304,0.005868884,0.059631824,0.064860486,0.064856307,0.03540659
0,0,0.006704658,0.006428155,0.063479424,0.064831023,0.064826862,0.038802147
0,0,0.00729604,0.006983021,0.083727837,0.064801707,0.064797564,0.047646523
0,0,0.007884464,0.007533573,0.077757835,0.064772534,0.064768409,0.043600798
0,0,0.008469947,0.008079891,0.091896772,0.064743503,0.064739397,0.054742575
0,0,0.009052502,0.00862205,0.072067499,0.064714612,0.064710523,0.038981199
0,0,0.009632145,0.009160119,0.059463024,0.064685859,0.064681787,0.036386013
0,0,0.010208889,0.009694161,0.062227964,0.064657241,0.064653187,0.037775278
0,0,0.01078275,0.010224237,0.062268496,0.064628757,0.06462472,0.039664268
0,0,0.011353741,0.010750403,0.081901312,0.064600407,0.064596386,0.048137426
0,0,0.011921878,0.011272713,0.090565205,0.064572187,0.064568183,0.047983408
0,0,0.012487173,0.011791218,0.066598892,0.064544096,0.064540109,0.037190676
0,0,0.013049643,0.012305964,0.061113358,0.064516134,0.064512163,0.037577152
0,0,0.013609299,0.012816999,0.062094212,0.064488299,0.064484343,0.038197756
0,0,0.014166158,0.013324367,0.064767838,0.06446059,0.06445665,0.039415836
0,0,0.014720232,0.013828109,0.060676098,0.064433005,0.06442908,0.036369324
0,0,0.015271536,0.014328267,0.071679831,0.064405543,0.064401634,0.045057535
0,0,0.015820084,0.014824879,0.07439065,0.064378204,0.06437431,0.038783073
0,0,0.016365889,0.015317983,0.063546896,0.064350987,0.064347107,0.037047148
0,0,0.016908964,0.015807617,0.062052965,0.064323889,0.064320024,0.037286997
0,0,0.017449325,0.016293815,0.062319994,0.064296911,0.064293061,0.037141323
0,0,0.017986983,0.016776611,0.073851347,0.064270051,0.064266215,0.042361498
0,0,0.018521953,0.01725604,0.069026709,0.064243308,0.064239487,0.039132595
0,0,0.019054249,0.017732134,0.063224077,0.064216682,0.064212875,0.038917065
0,0,0.019583883,0.018204924,0.062429905,0.064190172,0.064186378,0.038539171
0,0,0.020110869,0.018674441,0.060563087,0.064163777,0.064159996,0.036439419
0,0,0.020635219,0.019140715,0.062762976,0.064137495,0.064133728,0.036922455
0,0,0.021156949,0.019603776,0.064092875,0.064111327,0.064107574,0.03617692
0,0,0.021676069,0.020063653,0.059425116,0.064085272,0.064081531,0.036531448
0,0,0.022192594,0.020520373,0.062289476,0.064059328,0.0640556,0.036583424
0,0,0.022706536,0.020973964,0.065412283,0.064033495,0.06402978,0.038308382
0,0,0.023217909,0.021424452,0.075084686,0.064007772,0.06400407,0.036746025
0,0,0.023726725,0.021871866,0.059580803,0.063982159,0.063978469,0.036734819
0,0,0.024232996,0.022316229,0.063473225,0.063956655,0.063952977,0.037129879
0,0,0.024736737,0.022757568,0.060242414,0.063931259,0.063927593,0.035808325
0,0,0.025237958,0.023195907,0.068454027,0.063905971,0.063902317,0.036072493
0,0,0.025736674,0.023631272,0.059013844,0.063880789,0.063877147,0.035874605
0,0,0.026232896,0.024063685,0.06315589,0.063855714,0.063852084,0.03749156
0,0,0.026726636,0.024493172,0.062865973,0.063830745,0.063827126,0.036015511
0,0,0.027217908,0.024919754,0.06957531,0.06380588,0.063802273,0.045473814
0,0,0.027706724,0.025343455,0.066548109,0.06378112,0.063777524,0.037036419
0,0,0.028193096,0.025764299,0.058529615,0.063756464,0.063752879,0.032242537
0,0,0.028677036,0.026182305,0.061280966,0.063731911,0.063728337,0.036766768
0,0,0.029158556,0.026597498,0.055489779,0.063707461,0.063703898,0.032375097
0,0,0.029637669,0.027009898,0.057465315,0.063683113,0.06367956,0.032569408
0,0,0.030114386,0.027419526,0.058187246,0.063658867,0.063655325,0.033475399
0,0,0.030588719,0.027826404,0.056300402,0.063634722,0.06363119,0.032205582
0,0,0.031060681,0.028230552,0.059446335,0.063610678,0.063607156,0.033156157
0,0,0.031530283,0.02863199,0.055912018,0.063586733,0.063583221,0.033018112
0,0,0.031997537,0.029030739,0.055878162,0.063562888,0.063559387,0.0329144
0,0,0.032462454,0.029426819,0.063997269,0.063539142,0.063535651,0.03762579
0,0,0.032925048,0.029820248,0.059727192,0.063515495,0.063512013,0.033571482
0,0,0.033385328,0.030211048,0.055440187,0.063491946,0.063488474,0.032543421
0,0,0.033843307,0.030599235,0.060721636,0.063468494,0.063465032,0.034055948
0,0,0.034298995,0.030984831,0.08176589,0.06344514,0.063441686,0.040550709
0,0,0.034752406,0.031367853,0.075276375,0.063421882,0.063418438,0.036730051
0,0,0.035203549,0.031748319,0.079446077,0.063398721,0.063395286,0.043907642
0,0,0.035652437,0.032126248,0.069866657,0.063375655,0.063372229,0.038559914
0,0,0.03609908,0.032501658,0.070280313,0.063352684,0.063349267,0.038141012
0,0,0.03654349,0.032874567,0.079948902,0.063341967,0.063337454,0.044583797
0,0,0.036985678,0.033244992,0.067581892,0.063333251,0.06332874,0.037558317
0,0,0.037425656,0.033612951,0.065529346,0.063324564,0.063320054,0.037270546
0,0,0.037863433,0.033978462,0.066633463,0.063315906,0.063311398,0.036770821
0,0,0.038299021,0.03434154,0.072271585,0.063307276,0.06330277,0.03988409
0,0,0.038732431,0.034702203,0.0696702,0.063298675,0.063294171,0.037206411
0,0,0.039163675,0.035060469,0.097426414,0.063290102,0.0632856,0.049705505
0,0,0.039592762,0.035416352,0.088387966,0.063281558,0.063277057,0.046884298
0,0,0.040019704,0.03576987,0.094576597,0.063273041,0.063268542,0.05098629
0,0,0.040444511,0.036121039,0.081634998,0.063264552,0.063260055,0.049621582
0,0,0.040867193,0.036469875,0.084497929,0.06325609,0.063251594,0.044343948
0,0,0.041287763,0.036816394,0.078850269,0.063247656,0.063243162,0.046358585
0,0,0.04170623,0.037160611,0.082696676,0.063239248,0.063234756,0.046574831
0,0,0.042122604,0.037502542,0.07174468,0.063230868,0.063226377,0.041861534
0,0,0.042536897,0.037842203,0.074300528,0.063222514,0.063218025,0.04110384
