maxid,minid,maxig,minig,maxconsumption,minconsumption,maxmulti1,minmulti1,maxmulti2,minmulti2,PDEError,FCError
0.1166499665998664,0.11493558776167465,0.1166499665998664,0.11493558776167465,0.03305003340013368,0.009264412238325265,1,1,1,1,0.008106889150905008,0.00809878523797547
0.11497277621041455,0.11236434784082183,0.11497496714558307,0.11237531823553809,0.034725060246669506,0.01183373348257305,1.0025472585004067,1.0000087069588148,0.9995867819554203,0.9989186818440903,0.00847005991713159,0.008461593345692187
0.11346127840206931,0.11004866937030972,0.11346749012934662,0.11007789121114613,0.03623258792491627,0.014146126893392636,1.00447698659565,1.0000168351523073,0.999274228396863,0.997894005269985,0.008756570363469218,0.008747817685814674
0.11209901286535867,0.10796320265536268,0.11211078221442485,0.10801573111019042,0.037589366379221334,0.016227286081603558,1.0060490427880495,1.0000245139691826,0.9990200353048619,0.9969131718676909,0.00898289840203324,0.008973919717023549
0.11087114142779252,0.10608505739408815,0.11088976564098796,0.10616448745673336,0.03881047055652483,0.01810033487551147,1.0073928361437101,1.0000318409794717,0.998803135819875,0.9959665312367063,0.009161728669494528,0.009152571409725141
0.1097642914583395,0.10439358941937242,0.10979087061099523,0.10450250964431024,0.03990946790709399,0.019786084554694123,1.0085818974388214,1.00003889067154,0.9986115596433249,0.9950467164641044,0.009302915215749727,0.009293616973713448
0.10876641347580884,0.10287019244873541,0.10880188444953398,0.1030104756329208,0.040898569134859133,0.021303265206537345,1.009661747239857,1.0000457204691569,0.9984378962697633,0.9941480487871877,0.009414167866676778,0.00940475853594247
0.10786665196443172,0.10149810341024611,0.10791181586059981,0.10167110274881452,0.04178876387250305,0.022668733889410632,1.0106622892630757,1.0000523749869616,0.9982772775098905,0.9932661165063363,0.009501552927034366,0.009492056343147759
0.10705522836026107,0.10026222360221113,0.10711077276494928,0.10046890991483455,0.0425899427888977,0.023897661955212778,1.0116040285282555,1.0000588891073656,0.9981263652845724,0.9923974705861731,0.009569865180825534,0.009560300391182608
0.10632333518762824,0.09914895574576545,0.1063898523598006,0.0993900159769906,0.04331100748570017,0.025003703628607075,1.0125014815706592,1.0000652902448284,0.9979827965090173,0.9915394006479019,0.009622908346297294,0.009613290599679303
0.10566304036947449,0.09814605616391167,0.10574104217677385,0.09842196541819774,0.043959969404221595,0.02599914772306569,1.0133651788779598,1.000071600036775,0.9978448571318754,0.9906897676862938,0.00966370902093593,0.009654050543637105
0.10506720079430734,0.09724250101921303,0.10515713103722094,0.09755357596648806,0.044544038841562626,0.02689505418274841,1.0142029056977382,1.0000778356217612,0.9977112801490051,0.9898468776272216,0.009694681455305602,0.009684992062557463
0.10452938428758232,0.09642836545994501,0.10463162891445427,0.09677480432702483,0.04506970506510307,0.02770137696896283,1.0150205048194376,1.0000840106156632,0.9975811149144445,0.9890093847901307,0.009717755448538437,0.009708043028364699
0.10404379920174057,0.09569471453835506,0.10415869481162664,0.09607662727092206,0.04554280841551922,0.028427074657421655,1.0158224145033845,1.0000901358629477,0.9974536395623623,0.9881762175595767,0.009734476255290388,0.009724747152475288
0.10360523090420092,0.09503350482114743,0.10373307185327581,0.09545093594434623,0.04596860519948415,0.029080209975566044,1.0166120394649187,1.0000962200194765,0.9973283006024474,0.9873465207594103,0.009746083041773936,0.009736342363559913
0.10320898450482677,0.0944374956864683,0.10335002886884924,0.09489044168419063,0.04635182609308625,0.029668039386127054,1.0173920128816736,1.000102270007015,0.9972046702546109,0.9865196107059848,0.009753570767044625,0.009743822627052978
0.1028508332229515,0.09390016938141311,0.1030053078187653,0.09438859192666843,0.0466967287048986,0.030197093712390873,1.0181643851322608,1.0001082913693358,0.9970824157106879,0.985694939980136,0.009757739170174154,0.00974798688327283
0.10252697184858145,0.09341565899341076,0.10269507647856883,0.0939394950184317,0.047007144882735975,0.030673250701039115,1.0189307620201724,1.0001142885529024,0.9969612766194356,0.9848720696939388,0.009759231669599574,0.009749477908087556
0.102233974802792,0.0929786835647982,0.10241588585522482,0.09353785291256084,0.047286523289732596,0.031101800328821354,1.019692407421271,1.0001202651282597,0.9968410483642121,0.984050647583989,0.009758566332449582,0.00974881325125132
0.1019687583486947,0.09258448965111662,0.1021646318622215,0.09317890086963251,0.04753796772280968,0.031487503578678286,1.0204503204044553,1.0001262239656432,0.9967215694966143,0.9832303906483189,0.009756160585041687,0.009746409922142263
0.10172854654679563,0.09222879868957103,0.10193852082751188,0.09285835339690299,0.047764271599295104,0.0318346453383641,1.0212052937559122,1.0001321673746135,0.9966027121989445,0.982411071351823,0.00975235096668598,0.00974260412402117
0.10151084058728532,0.09190775960462358,0.10173503845093936,0.09257235575274327,0.047967948994879904,0.032147082009309755,1.0219579587645615,1.000138097215145,0.9964843749842078,0.9815925066378206,0.009747408946633115,0.009737667054992016
0.10131339116711019,0.09161790613297442,0.10155192186614269,0.09231744042320339,0.04815126257777871,0.032428284354691556,1.0227088197427978,1.0001440149862173,0.9963664770681842,0.9807745491597002,0.009741553606435457,0.009731817577778301
0.10113417361173213,0.09135611840049265,0.1013871344964478,0.09209048804588763,0.04831624874947416,0.03268137606277417,1.0234582808005364,1.000149921896905,0.9962489540038231,0.979957080272106,0.009734961821204565,0.009725232390884742
0.100971365470607,0.09111958832932959,0.10123884342531274,0.09188869231541294,0.048464740271386815,0.03290916845399075,1.0242066667207936,1.000155818922953,0.9961317542764512,0.9791400044177285,0.009727776441540862,0.009718054202227933
