maxid,minid,maxig,minig,maxconsumption,minconsumption,maxmulti1,minmulti1,PDEError,FCError
0.0,0.0,0.12244714915183204,0.10034509446068401,0.10705823747626068,0.050357501717024876,4.5737021934231095,1.0067812579388895,0.000986982957990705,1.642385694111681e-07
0.0,0.0,0.12244714915182665,0.10034509446068321,0.10705823747626059,0.050357501717023044,4.5737021934134,1.0067812579388566,0.0009869827941776863,1.640744873299127e-07
0.0,0.0,0.12244714915182127,0.10034509446068243,0.1070582374762605,0.05035750171702129,4.573702193403925,1.006781257938822,0.000986982630527669,1.6391058288434124e-07
0.0,0.0,0.1224471491518159,0.10034509446068171,0.1070582374762604,0.05035750171701951,4.573702193394544,1.0067812579388007,0.0009869824670413474,1.6374682942910113e-07
0.0,0.0,0.12244714915181054,0.10034509446068093,0.10705823747626031,0.05035750171701773,4.573702193385033,1.0067812579387279,0.0009869823037183811,1.6358326249132915e-07
0.0,0.0,0.1224471491518052,0.10034509446068013,0.10705823747626021,0.05035750171701596,4.57370219337554,1.006781257938671,0.000986982140557674,1.6341983766210433e-07
0.0,0.0,0.12244714915179984,0.10034509446067935,0.10705823747626013,0.0503575017170141,4.573702193365827,1.006781257938632,0.000986981977561814,1.6325659935034764e-07
0.0,0.0,0.12244714915179448,0.10034509446067857,0.10705823747626003,0.050357501717012275,4.573702193356155,1.0067812579385849,0.0009869818147274223,1.630935297924907e-07
0.0,0.0,0.12244714915178913,0.10034509446067776,0.10705823747625993,0.05035750171701048,4.573702193346492,1.00678125793852,0.000986981652056275,1.6293058457961251e-07
0.0,0.0,0.12244714915178379,0.10034509446067695,0.10705823747625985,0.05035750171700866,4.573702193337192,1.0067812579384792,0.0009869814895476503,1.6276783476598666e-07
0.0,0.0,0.12244714915177844,0.10034509446067613,0.10705823747625975,0.050357501717006876,4.573702193327673,1.0067812579384232,0.0009869813272018538,1.6260522706090796e-07
0.0,0.0,0.12244714915177311,0.10034509446067535,0.10705823747625966,0.050357501717005156,4.573702193318109,1.0067812579383904,0.0009869811650182261,1.624428147550816e-07
0.0,0.0,0.12244714915176777,0.10034509446067458,0.10705823747625956,0.05035750171700347,4.573702193308513,1.0067812579383397,0.0009869810029988213,1.62280526794234e-07
0.0,0.0,0.12244714915176244,0.1003450944606738,0.10705823747625948,0.05035750171700169,4.573702193298864,1.006781257938305,0.000986980841138789,1.6211839870550193e-07
0.0,0.0,0.1224471491517571,0.10034509446067302,0.10705823747625938,0.05035750171699994,4.573702193289224,1.006781257938251,0.0009869806794412378,1.619564482524538e-07
0.0,0.0,0.12244714915175178,0.1003450944606723,0.10705823747625928,0.050357501716998,4.573702193279862,1.0067812579382456,0.0009869805179047453,1.6179466655330543e-07
0.0,0.0,0.12244714915174645,0.10034509446067165,0.10705823747625919,0.050357501716996024,4.573702193270272,1.0067812579382305,0.0009869803565302135,1.616330447262726e-07
0.0,0.0,0.12244714915174112,0.10034509446067096,0.1070582374762591,0.050357501716994095,4.573702193260825,1.006781257938178,0.000986980195315304,1.6147157388957112e-07
