maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
0.0,0.0,0.0,0.0,0.11432790756225586,0.06518112886142108,0.06517682294591313,0.0773308277130127,5.95813964497869e-23
0.0,0.0,0.0006249049196745994,0.0006139998269358856,0.0720365047454834,0.06514996518773686,0.06514568095297225,0.04490184783935547,1.2335264112606707e-22
0.0,0.0,0.001246685323908125,0.0012203771235540152,0.07204127311706543,0.06511904323825264,0.06511478031341306,0.04127836227416992,1.91525597178433e-22
0.0,0.0,0.0018653568352549822,0.001820232073166643,0.07697486877441406,0.06508833025829647,0.06508408830400775,0.04791402816772461,2.6425747962497875e-22
0.0,0.0,0.0024809349981568286,0.0024141475571730913,0.08322978019714355,0.06505780899265148,0.06505358768788862,0.05026078224182129,3.417104801837274e-22
0.0,0.0,0.0030934352793319537,0.003002505240345367,0.07999682426452637,0.0650274681944671,0.06502326723135361,0.04840683937072754,4.240389203611958e-22
0.0,0.0,0.0037028730681660967,0.0035855831481948377,0.08442902565002441,0.0649972997025571,0.0649931187836259,0.05262184143066406,5.113891684194852e-22
0.0,0.0,0.0043092636770969694,0.004163597466130608,0.0713498592376709,0.06496729719229023,0.06496313602881192,0.04133892059326172,6.0389974115778545e-22
0.0,0.0,0.004912622342000253,0.004736723901115566,0.07888340950012207,0.0649374555386304,0.06493331384948677,0.041481971740722656,7.017014937657282e-22
0.0,0.0,0.005512964222572114,0.00530510990838447,0.07132792472839355,0.06490777045232907,0.06490364796320948,0.0394892692565918,8.049178656625246e-22
0.0,0.0,0.006110304402709807,0.005868882270156697,0.07254242897033691,0.06487823825487284,0.06487413469766518,0.04463934898376465,9.136651367529516e-22
0.0,0.0,0.006704657890891605,0.006428152080750047,0.07436895370483398,0.06484885573073156,0.06484477084304809,0.041997671127319336,1.0280526907250967e-21
0.0,0.0,0.007296039620552669,0.006983018180372342,0.07197833061218262,0.06481962002576896,0.06481555355056477,0.04240894317626953,1.1481832657447547e-21
0.0,0.0,0.007884464450462123,0.007533569609193273,0.07547760009765625,0.06479052857476068,0.0647864802600158,0.04405856132507324,1.2741531960773934e-21
0.0,0.0,0.008469947165093613,0.008079887415004077,0.08391761779785156,0.06476157904808781,0.06475754864654226,0.04769277572631836,1.4060526275568515e-21
0.0,0.0,0.00905250247499895,0.008622046018722693,0.08234810829162598,0.06473276931152654,0.06472875658045142,0.04615974426269531,1.5439657235349016e-21
0.0,0.0,0.009632145017177114,0.009160114268174575,0.10245919227600098,0.0647040973952571,0.06470010209625575,0.07318973541259766,1.6879708489650163e-21
0.0,0.0,0.010208889355442015,0.00969415626637361,0.0790567398071289,0.06467556146953224,0.06467158336836594,0.04593324661254883,1.83814073932764e-21
0.0,0.0,0.010782749980788117,0.010224232033017444,0.08920454978942871,0.06464715982526387,0.06464319869169434,0.05697131156921387,1.994542662619801e-21
0.0,0.0,0.011353741311755778,0.01075039804021622,0.08148407936096191,0.06461889085831365,0.06461494646596479,0.04518842697143555,2.157238567156202e-21
0.0,0.0,0.011921877694791668,0.011272707651759981,0.08340144157409668,0.06459075305662024,0.06458682518284825,0.050414323806762695,2.3262852241752806e-21
0.0,0.0,0.012487173404609857,0.011791211487278708,0.0781548023223877,0.06456274498953242,0.06455883341531313,0.040900468826293945,2.501734364006086e-21
0.0,0.0,0.013049642644552644,0.012305957727130244,0.07366466522216797,0.06453486529888088,0.06453096980870171,0.04329991340637207,2.683632811741688e-21
0.0,0.0,0.013609299546943104,0.012816992369944514,0.07754087448120117,0.0645071126914371,0.06450323307319507,0.0433657169342041,2.872022620139609e-21
0.0,0.0,0.014166158173445114,0.013324359451937252,0.06163454055786133,0.06447948593249078,0.06447562197740529,0.03548693656921387,3.0669412125290046e-21
0.0,0.0,0.014720232515412029,0.013828101235045128,0.057480573654174805,0.06445198384033891,0.06444813534286394,0.03452944755554199,3.2684215166258924e-21
0.0,0.0,0.015271536494241629,0.01432825836940279,0.05435919761657715,0.0644246052815238,0.064420772039267,0.03303217887878418,3.476492101507877e-21
0.0,0.0,0.01582008396172467,0.014824870034529668,0.056520700454711914,0.0643973491666922,0.0643935309803386,0.0350041389465332,3.6911773421146854e-21
0.0,0.0,0.0163658887003923,0.015317974062716112,0.0534670352935791,0.06437021444697331,0.06436641112021677,0.033147335052490234,3.9124975432631966e-21
0.0,0.0,0.016908964423862968,0.015807607047421776,0.05621790885925293,0.06434320011079321,0.06433941145026698,0.03422975540161133,4.140469111768247e-21
0.0,0.0,0.017449324777187625,0.016293804438972655,0.05301713943481445,0.06431630518105869,0.06431253099626957,0.03195667266845703,4.375104726674029e-21
0.0,0.0,0.01798698333719163,0.01677660062942938,0.05599212646484375,0.06428952871265613,0.06428576881592381,0.03350663185119629,4.616413465384402e-21
0.0,0.0,0.018521953612816486,0.01725602902817146,0.05476880073547363,0.06426286979022001,0.0642591239966215,0.03249526023864746,4.8644010114014146e-21
0.0,0.0,0.019054249045458042,0.017732122129480145,0.05811500549316406,0.06423632752613392,0.06423259565344272,0.03520488739013672,5.119069805522864e-21
0.0,0.0,0.019583883009305754,0.018204911573191613,0.0574033260345459,0.06420990105873274,0.06420618292736699,0.03465151786804199,5.380419226330427e-21
0.0,0.0,0.020110868811679034,0.01867442819932108,0.05484771728515625,0.0641835895506796,0.064179884983653,0.0332493782043457,5.648445755481622e-21
0.0,0.0,0.020635219693358825,0.019140702097418794,0.056726694107055664,0.06415739218749593,0.06415370101036481,0.03376913070678711,5.9231431489219876e-21
