epoch,maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
70,196.34235379992134,0.0,0.12434784070992368,0.11070187066215142,0.05699968338012695,6.257606256387018e+30,9.149955191581768e+30,0.03404378890991211,"(43660989756.48476, 2)"
71,195.35795695718116,0.0,0.12435204284468312,0.11060956957236578,0.05549740791320801,1.0905286488132337e+31,1.582494896814982e+31,0.03428030014038086,"(74094865440.62643, 2)"
72,194.37840061773608,0.0,0.12435621031866251,0.11051772971447113,0.058542728424072266,1.886108141240209e+31,2.716587476012827e+31,0.03467369079589844,"(124838236501.46861, 2)"
73,193.40365526654656,0.0,0.12436034368939167,0.1104261880946313,0.05539298057556152,3.2378310570072187e+31,4.629340226227452e+31,0.034427642822265625,"(208845623564.10132, 2)"
74,192.4336909114054,0.0,0.12436444349561439,0.110334529116932,0.05806159973144531,5.517671854480878e+31,7.832189255842032e+31,0.036264896392822266,"(346953495946.77936, 2)"
75,191.4684769768948,0.0,0.12436851025825855,0.11024332835742641,0.07202315330505371,9.335257052529243e+31,1.3157374402421627e+32,0.04501199722290039,"(570667582573.0464, 2)"
76,190.50798217337882,0.0,0.1243725444813421,0.11015258351862774,0.06174015998840332,1.5682624386211854e+32,2.1949737113220104e+32,0.0365748405456543,"(932294400767.5024, 2)"
77,189.55217433341815,0.0,0.12437654665282026,0.11006229231464472,0.06010627746582031,2.616286452250464e+32,3.636756762980252e+32,0.03796029090881348,"(1512925856930.847, 2)"
78,188.6010202050948,0.0,0.12438051724537812,0.1099724524711215,0.05976247787475586,4.3348766867605025e+32,5.985130841748488e+32,0.03543806076049805,"(2438977395894.7803, 2)"
79,187.6544851874786,0.0,0.12438445671717303,0.10988306172517784,0.05527853965759277,7.134158068999145e+32,9.78489055740477e+32,0.03472757339477539,"(3906145944171.2466, 2)"
80,186.7125329870962,0.0,0.13804994886070035,0.10979411782534974,0.056112051010131836,1.1663575374735071e+33,1.5893098615267836e+33,0.03355264663696289,"(6215256241530.838, 2)"
81,185.7751251644968,0.0,0.1380425436510567,0.10970561853153038,0.05594491958618164,1.8944843364889178e+33,2.5649431232575546e+33,0.034772634506225586,"(9825484634026.312, 2)"
82,184.84222052463562,0.0,0.13800635685584933,0.10961756161491137,0.054917335510253906,3.057503460456054e+33,4.113473310465129e+33,0.03387188911437988,"(15432783094369.787, 2)"
83,183.91377427988053,0.0,0.13796072745717036,0.09835999426646416,0.06010079383850098,4.9034837909055535e+33,6.556100883383192e+33,0.03757166862487793,"(24084566109599.363, 2)"
84,182.98973687265666,0.0,0.13791051145195013,0.09856405649719312,0.06060934066772461,7.815352943636463e+33,1.0385605123376837e+34,0.037870168685913086,"(37346176244899.58, 2)"
85,182.07005227184447,0.0,0.1378576567240781,0.09879789640770034,0.05837726593017578,1.2380601578841147e+34,1.6353454351050549e+34,0.03599905967712402,"(57540693897122.06, 2)"
86,181.15465542391664,0.0,0.1378031392953986,0.09906322617105998,0.06754136085510254,1.9495145696894707e+34,2.5598827939927144e+34,0.043478965759277344,"(88091759022685.25, 2)"
87,180.2434682830135,0.0,0.13774751777965208,0.09932938508465627,0.06733417510986328,3.0517163982047083e+34,3.983859463624837e+34,0.0365900993347168,"(134009742123529.73, 2)"
88,179.3363933151403,0.0,0.1376911416769762,0.0995105334295666,0.05817246437072754,4.749362025701439e+34,6.164543047525634e+34,0.03468155860900879,"(202575375455713.8, 2)"
89,178.43330218927113,0.0,0.13763424409743788,0.09966661850800523,0.057517051696777344,7.349188718709856e+34,9.485265273077066e+34,0.03501582145690918,"(304292314651071.44, 2)"
90,177.5340144498536,0.0,0.13757698819202535,0.09980983989252523,0.056305646896362305,1.130824748816902e+35,1.4514020347158018e+35,0.03529620170593262,"(454201300107552.94, 2)"
91,176.63825260135292,0.0,0.1375194925148308,0.09994564620142224,0.05912494659423828,1.7303777984459798e+35,2.208781614097876e+35,0.03593111038208008,"(673673421857989.4, 2)"
92,175.7455312602641,0.0,0.13746184583818902,0.10007688855464114,0.058461904525756836,2.6333794300710243e+35,3.343343614358589e+35,0.03698277473449707,"(992827271033456.6, 2)"
93,174.85480354814334,0.0,0.13740411628208749,0.10020516475928816,0.057674407958984375,3.986109260980332e+35,5.033940341864245e+35,0.03436923027038574,"(1453776177920326.5, 2)"
94,173.96256271975207,0.0,0.13734635719094496,0.1003314039185431,0.05691671371459961,6.001832150369172e+35,7.53995639113641e+35,0.035407304763793945,"(2114757828603175.5, 2)"
95,170.66520376442827,0.0,0.137288611056666,0.10045615889713466,0.05837512016296387,8.989846658754859e+35,1.1235632347262172e+36,0.037363529205322266,"(3055578018710341.0, 2)"
